passportNumber,purchaseDate,passportLocation,passportTierID,cityID,stateID,countryID
1,2022-12-13,Idaho,2,,43,1
2,2023-02-03,Bozeman,1,3,41,1
3,2023-02-04,Billings,1,2,41,1
4,2023-02-05,West Yellowstone,1,4,41,1
5,2023-03-10,Idaho Falls,1,1,43,1
6,2023-03-12,Shelley,1,5,43,1
7,2023-03-15,USA,3,,,1
8,2023-03-23,Ucon,1,6,43,1
9,2023-03-26,Ammon,1,7,43,1
10,2023-03-26,Rigby,1,8,43,1
11,2023-03-26,Iona,1,9,43,1
12,2023-03-26,Swan Valley,1,10,43,1
13,2023-03-26,Irwin,1,11,43,1
14,2023-03-26,Wyoming,2,,44,1
15,2023-03-26,Alpine,1,12,44,1
16,2023-03-26,Thayne,1,13,44,1
17,2023-03-26,Afton,1,14,44,1
18,2023-06-01,Chubbuck,1,15,43,1
19,2023-06-07,Dubois,1,16,43,1
20,2023-06-07,Deer Lodge County,1,17,41,1
21,2023-06-07,Missoula,1,18,41,1
22,2023-06-07,Superior,1,19,41,1
23,2023-06-07,Wallace,1,20,43,1
24,2023-06-07,Osburn,1,21,43,1
25,2023-06-07,Post Falls,1,22,43,1
26,2023-06-07,Spokane Valley,1,23,42,1
27,2023-06-08,Spokane,1,24,42,1
28,2023-06-08,Moses Lake,1,25,42,1
29,2023-06-10,Lynden,1,26,42,1
30,2023-06-13,Bellingham,1,27,42,1
31,2023-06-16,Washington,2,,42,1
32,2023-06-18,Oregon,2,,33,1
33,2023-07-14,Moore,1,28,43,1
34,2023-07-14,Mackay,1,29,43,1
35,2023-07-14,Clayton,1,30,43,1
36,2023-07-14,Stanley,1,31,43,1
37,2023-07-16,Challis,1,32,43,1
38,2023-07-16,Arco,1,33,43,1
39,2023-07-16,Butte City,1,34,43,1
40,2023-07-18,Heyburn,1,35,43,1
41,2023-07-18,Burley,1,36,43,1
42,2023-07-18,Jerome,1,37,43,1
43,2023-07-18,Boise,1,38,43,1
44,2023-07-18,Garden City,1,39,43,1
45,2023-07-28,Salt Lake City,1,40,45,1
46,2023-07-28,Sandy,1,41,45,1
47,2023-07-28,Draper,1,42,45,1
48,2023-07-28,Lindon,1,43,45,1
49,2023-07-29,Utah,2,,45,1
50,2023-08-12,Inkom,1,44,43,1
51,2023-08-12,Arimo,1,45,43,1
52,2023-08-12,Downey,1,46,43,1
53,2023-09-03,Arizona,2,,48,1
54,2023-09-03,Phoenix,1,47,48,1
55,2023-09-04,Scottsdale,1,48,48,1
56,2023-09-04,Tempe,1,49,48,1
57,2023-09-05,Mesa,1,50,48,1
58,2023-09-05,Gilbert,1,51,48,1
59,2023-09-06,Chandler,1,52,48,1
60,2023-09-08,Glendale,1,53,48,1
61,2023-09-08,Peoria,1,54,48,1
62,2023-09-08,Youngtown,1,55,48,1
63,2023-09-08,El Mirage,1,56,48,1
64,2023-09-08,Surprise,1,57,48,1
65,2023-09-08,Litchfield Park,1,58,48,1
66,2023-09-08,Goodyear,1,59,48,1
67,2023-09-08,Avondale,1,60,48,1
68,2023-10-08,Ririe,1,61,43,1
69,2023-09-12,Nevada,2,,36,1
70,2023-10-12,Wells,1,62,36,1
71,2023-10-12,Elko,1,63,36,1
72,2023-10-12,Eureka County,1,64,36,1
73,2023-10-12,Winnemucca,1,65,36,1
74,2023-10-12,Fernley,1,66,36,1
75,2023-10-12,Wadsworth,1,67,36,1
76,2023-10-12,Sparks,1,68,36,1
77,2023-10-12,Reno,1,69,36,1
78,2023-10-12,Verdi-Mogul,1,70,36,1
79,2023-09-12,California,2,,31,1
80,2023-10-12,Storey County,1,71,36,1
81,2023-10-12,Lovelock,1,72,36,1
82,2023-10-12,Battle Mountain,1,73,36,1
83,2023-10-12,Carlin,1,74,36,1
84,2023-10-08,Hollister,1,75,43,1
85,2023-10-20,Ashton,1,76,43,1
86,2023-11-03,Montana,2,,41,1
87,2023-11-03,Big Timber,1,77,41,1
88,2023-11-05,Laurel,1,78,41,1
89,2023-11-05,Columbus,1,79,41,1
90,2023-11-05,Livingston,1,80,41,1
91,2023-11-05,Belgrade,1,81,41,1
92,2023-11-16,Rexburg,1,82,43,1
93,2023-11-16,Menan,1,83,43,1
94,2023-11-16,Lewisville,1,84,43,1
95,2023-12-03,Basalt,1,85,43,1
96,2023-12-21,Sugar City,1,86,43,1
97,2023-12-21,Teton,1,87,43,1
98,2023-12-21,St. Anthony,1,88,43,1
99,2024-01-11,Blackfoot,1,89,43,1
100,2024-01-11,Pocatello,1,90,43,1
101,2024-01-11,American Falls,1,91,43,1
