plotNumber,purchaseDate,plotTypeID,cityID,stateID,countryID,plotNotes
1,2022-09-21,1,,43,1,Home
2,2022-09-22,1,,43,1,Home
3,2022-09-23,1,,43,1,Home
4,2022-09-24,2,,43,1,Home
5,2022-09-25,2,,43,1,Home
6,2022-09-26,2,,43,1,Home
7,2022-09-27,2,1,43,1,
8,2022-09-28,1,1,43,1,
9,2022-09-29,2,1,43,1,
10,2022-09-30,2,1,43,1,
11,2022-10-02,2,2,41,1,Kim & Steve's place
12,2022-10-03,1,1,43,1,
13,2022-10-04,2,1,43,1,
14,2022-10-05,2,1,43,1,
15,2022-10-06,1,1,43,1,
16,2022-10-07,2,1,43,1,
17,2022-10-08,3,1,43,1,
18,2022-10-09,1,1,43,1,
19,2022-10-10,1,1,43,1,
20,2022-10-11,2,1,43,1,
21,2022-10-12,4,1,43,1,
22,2022-10-13,1,1,43,1,
23,2022-10-14,1,1,43,1,
24,2022-10-15,1,1,43,1,
25,2022-10-16,4,1,43,1,
26,2022-10-17,4,1,43,1,
27,2022-10-18,1,1,43,1,
28,2022-10-19,2,1,43,1,
29,2022-10-20,4,1,43,1,
30,2022-10-21,2,1,43,1,
31,2022-10-22,1,1,43,1,
32,2022-10-24,1,1,43,1,
33,2022-10-25,3,1,43,1,*Date guesstimated
34,2022-10-26,1,1,43,1,*Date guesstimated
35,2022-10-27,3,1,43,1,*Date guesstimated
36,2022-10-28,1,1,43,1,*Date guesstimated
37,2022-10-29,1,1,43,1,*Date guesstimated
38,2022-11-01,1,1,43,1,*Date guesstimated
39,2022-11-02,1,1,43,1,*Date guesstimated
40,2022-11-03,1,1,43,1,*Date guesstimated
41,2022-11-04,4,1,43,1,*Date guesstimated
42,2022-11-05,1,1,43,1,*Date guesstimated
43,2022-11-06,2,1,43,1,*Date guesstimated
44,2022-11-07,1,1,43,1,*Date guesstimated
45,2022-11-08,2,1,43,1,
46,2022-11-09,1,1,43,1,
47,2022-11-12,2,1,43,1,
48,2022-11-14,3,1,43,1,
49,2022-11-15,1,1,43,1,
50,2022-11-16,1,1,43,1,
51,2022-11-17,2,1,43,1,
52,2022-11-18,1,1,43,1,
53,2022-11-21,1,1,43,1,
54,2022-11-22,1,1,43,1,
55,2022-11-23,3,1,43,1,
56,2022-11-25,1,1,43,1,
57,2022-11-28,1,1,43,1,
58,2022-11-28,2,1,43,1,
59,2022-11-30,2,1,43,1,
60,2022-12-01,1,1,43,1,
61,2022-12-03,1,1,43,1,
62,2022-12-06,1,1,43,1,*Date guesstimated
63,2022-12-07,3,1,43,1,
64,2022-12-08,1,1,43,1,
65,2022-12-09,1,1,43,1,
66,2022-12-10,3,1,43,1,
67,2022-12-12,1,1,43,1,*Date guesstimated
68,2022-12-14,2,1,43,1,*Date guesstimated
69,2022-12-16,1,1,43,1,*Date guesstimated
70,2022-12-17,1,1,43,1,
71,2022-12-19,1,1,43,1,
72,2022-12-20,1,1,43,1,
73,2022-12-20,2,1,43,1,
74,2022-12-21,1,1,43,1,Minifigure Mania
75,2022-12-23,1,1,43,1,Soccer ball statue by the soccer complex
76,2022-12-24,2,1,43,1,Rosemark
77,2022-12-25,1,1,43,1,ICCU intersection on the way to Kim's place
78,2022-12-26,2,1,43,1,Idaho Falls Temple
79,2022-12-26,4,1,43,1,Idaho Falls Temple
80,2022-12-26,4,1,43,1,Idaho Falls Temple
81,2022-12-26,2,1,43,1,Idaho Falls Temple
82,2022-12-26,1,1,43,1,Idaho Falls Temple
83,2022-12-26,1,1,43,1,Idaho Falls Temple
84,2022-12-26,1,1,43,1,Idaho Falls Temple
85,2022-12-26,2,1,43,1,Idaho Falls Temple
86,2022-12-26,3,1,43,1,Idaho Falls Temple
87,2022-12-26,1,1,43,1,Idaho Falls Temple
88,2022-12-26,1,1,43,1,Idaho Falls Temple
89,2022-12-26,1,1,43,1,Idaho Falls Temple
90,2022-12-26,1,1,43,1,Idaho Falls Temple
91,2022-12-26,1,1,43,1,Idaho Falls Temple
92,2022-12-26,2,1,43,1,Idaho Falls Temple
93,2022-12-26,1,1,43,1,Destinations Inn
94,2022-12-27,1,1,43,1,Energy Way
95,2022-12-29,1,1,43,1,Energy Way
96,2022-12-30,2,1,43,1,Energy Way
97,2022-12-31,1,1,43,1,Indian statue by Fred Meyer
98,2023-01-02,1,1,43,1,Energy Way
99,2023-01-03,1,1,43,1,Energy Way
100,2023-01-04,1,1,43,1,Energy Way
101,2023-01-05,2,1,43,1,Energy Way
102,2023-01-06,1,1,43,1,Energy Way
103,2023-01-07,3,1,43,1,Madelyn's friends' baby shower house
104,2023-01-08,2,1,43,1,Energy Way
105,2023-01-09,1,1,43,1,Energy Way
106,2023-01-10,1,1,43,1,Energy Way
107,2023-01-11,2,1,43,1,Energy Way
108,2023-01-12,1,1,43,1,Energy Way
109,2023-01-13,1,1,43,1,Energy Way
110,2023-01-13,1,1,43,1,Idaho Falls Temple
111,2023-01-15,1,1,43,1,ICCU intersection on the way to Kim's place
112,2023-01-16,1,1,43,1,Energy Way
113,2023-01-17,2,1,43,1,Indian statue by Fred Meyer
114,2023-01-18,2,1,43,1,Energy Way
115,2023-01-19,2,1,43,1,Energy Way
116,2023-01-19,1,1,43,1,Energy Way
117,2023-01-21,1,1,43,1,"Coldwell Banker Tomlinson, close to the tractor statue"
118,2023-01-22,3,1,43,1,Lincoln Stake Building
119,2023-01-23,2,1,43,1,Energy Way
120,2023-01-24,2,1,43,1,Energy Way
121,2023-01-25,2,1,43,1,Energy Way
122,2023-01-26,2,1,43,1,Energy Way
123,2023-01-28,2,1,43,1,"Coldwell Banker Tomlinson, close to the tractor statue"
124,2023-01-29,2,1,43,1,Lincoln Stake Building
125,2023-02-07,2,1,43,1,Energy Way
126,2023-02-08,3,1,43,1,Energy Way
127,2023-02-09,1,1,43,1,Energy Way
128,2023-02-10,3,1,43,1,Energy Way
129,2023-02-11,1,1,43,1,"Smith, Kunz & Associates"
130,2023-02-12,3,1,43,1,Lincoln Stake Building
131,2023-02-13,2,1,43,1,ICCU intersection of Taco Time and Arctic Circle
132,2023-02-15,1,1,43,1,Browning Law
133,2023-02-16,1,1,43,1,Energy Way
134,2023-02-18,1,1,43,1,"Smith, Kunz & Associates"
135,2023-02-18,1,1,43,1,ICCU intersection on the way to Kim's place
136,2023-02-21,2,1,43,1,Energy Way
137,2023-02-23,1,1,43,1,Energy Way
138,2023-02-24,1,1,43,1,Energy Way
